MAC,ssid,lat,lon
00:03:52:D8:EF:0D,wifine,,
00:03:52:D8:F0:1C,wifine,,
00:03:52:D8:F1:1C,wifine,,
00:03:52:D8:F2:0D,wifine,,
00:03:52:D8:F3:15,wifine,,
00:03:52:D8:F3:1D,wifine,,
00:03:52:D8:F7:32,wifine,,
00:03:52:D8:F7:3D,wifine,,
00:03:52:D8:F8:03,wifine,,
00:03:52:D8:F8:0C,wifine,,
00:03:52:D8:F8:9D,wifine,,
00:03:52:D8:F9:7C,wifine,,
00:03:52:D8:FC:9C,wifine,,
00:03:52:D8:FD:61,wifine,,
00:03:52:D8:FD:6C,wifine,,
00:03:52:D8:FE:9C,wifine,,
00:03:52:D9:04:8B,wifine,,
00:03:52:D9:0D:3C,wifine,,
00:03:52:DA:37:82,wifine,,
00:03:52:DA:37:8C,wifine,,
00:03:52:DA:37:C4,wifine,,
00:03:52:DA:37:CC,wifine,,
00:03:52:DA:38:E4,wifine,,
00:03:52:DA:38:EC,wifine,,
00:03:52:DB:D3:FE,wifine,,
00:03:52:DD:41:E4,wifine,,
00:03:52:DD:41:ED,wifine,,
00:03:52:E2:73:5C,wifine,,
00:03:52:E2:74:0C,wifine,,
00:03:52:E2:74:2C,wifine,,
00:03:52:E2:74:5C,wifine,,
00:03:52:E2:78:3C,wifine,,
00:03:52:E2:78:8C,wifine,,
00:03:52:E2:79:DC,wifine,,
00:03:52:E2:7A:8C,wifine,,
00:03:52:E2:82:A9,wifine,,
00:03:52:E2:87:29,wifine,,
00:03:52:E2:87:8A,wifine,,
00:03:52:E2:87:C9,wifine,,
00:03:52:E2:8A:8D,wifine,,
00:03:52:E2:8A:CC,wifine,,
00:03:52:E2:8A:DC,wifine,,
00:03:52:E2:8B:7D,wifine,,
00:03:52:E2:8F:3D,wifine,,
00:03:52:E2:8F:6C,wifine,,
00:03:52:E2:95:3C,wifine,,
00:03:52:E2:95:D4,wifine,,
00:03:52:E2:95:DC,wifine,,
00:03:52:E2:96:FC,wifine,,
00:03:52:E2:9D:EC,wifine,,
00:03:52:E2:9E:2C,wifine,,
00:03:52:E2:9E:9C,wifine,,
00:03:52:E2:A1:DA,wifine,,
00:03:52:E2:A1:DC,wifine,,
00:03:52:E2:A5:8C,wifine,,
00:03:52:E2:A8:09,wifine,,
00:03:52:E2:AC:1C,wifine,,
00:03:52:E2:AC:1D,wifine,,
00:03:52:E2:AD:0D,wifine,,
00:03:52:E2:AD:2D,wifine,,
00:03:52:E2:AF:FD,wifine,,
00:03:52:E2:B2:09,wifine,,
00:03:52:E2:B3:B9,wifine,,
00:03:52:E2:B5:0C,wifine,,
00:03:52:E2:B5:5C,wifine,,
00:03:52:E2:B5:7D,wifine,,
00:03:52:E2:B6:21,wifine,,
00:03:52:E2:B6:2C,wifine,,
00:03:52:E2:B6:9D,wifine,,
00:03:52:E2:B7:1D,wifine,,
00:03:52:E2:BB:1C,wifine,,
00:03:52:E2:C0:AC,wifine,,
00:03:52:E2:C1:BA,wifine,,
00:03:52:E2:C1:ED,wifine,,
00:03:52:E2:C2:4D,wifine,,
00:03:52:E2:C3:4C,wifine,,
00:03:52:E2:C4:7A,wifine,,
00:03:52:E2:C6:3D,wifine,,
00:03:52:E2:C6:DD,wifine,,
00:03:52:E2:C7:9A,wifine,,
00:03:52:E2:C8:AA,wifine,,
00:03:52:E2:C8:E4,wifine,,
00:03:52:E2:C8:EC,wifine,,
00:03:52:E2:C9:8D,wifine,,
00:03:52:E2:C9:BC,wifine,,
00:03:52:E2:D2:3C,wifine,,
00:03:52:E2:D4:2D,wifine,,
00:03:52:E2:D4:3C,wifine,,
00:03:52:E2:D6:DC,wifine,,
00:03:52:E2:FF:5C,wifine,,
00:03:52:E3:00:FC,wifine,,
00:03:52:E3:01:1C,wifine,,
00:03:52:E3:02:EC,wifine,,
00:03:52:E3:0A:1C,wifine,,
00:03:52:E3:0A:BC,wifine,,
00:03:52:E3:0B:8C,wifine,,
00:03:52:E3:0B:CD,wifine,,
00:03:52:E3:0F:9C,wifine,,
00:03:52:E3:0F:BD,wifine,,
00:03:52:E3:16:4D,wifine,,
00:03:52:E3:16:7C,wifine,,
00:03:52:E3:17:4A,wifine,,
00:03:52:E3:20:BC,wifine,,
00:03:52:E3:2B:FC,wifine,,
00:03:52:E3:3B:0C,wifine,,
00:03:52:E3:3C:8C,wifine,,
00:03:52:E3:3C:CC,wifine,,
00:03:52:E3:41:7C,wifine,,
00:03:52:E3:42:6C,wifine,,
00:03:52:E3:46:9C,wifine,,
00:03:52:E3:58:8C,wifine,,
00:03:52:E3:79:8C,wifine,,
00:03:52:E3:79:BC,wifine,,
00:03:52:E3:7A:AE,wifine,,
00:03:52:E3:7B:5D,wifine,,
00:03:52:E3:7B:CC,wifine,,
00:03:52:E3:7B:DC,wifine,,
00:03:52:E3:7C:DC,wifine,,
00:03:52:E3:7E:6E,wifine,,
00:03:52:E3:7F:0C,wifine,,
00:03:52:E3:7F:C4,wifine,,
00:03:52:E3:7F:CC,wifine,,
00:03:52:E3:82:4C,wifine,,
00:03:52:E3:83:CD,wifine,,
00:03:52:E3:8A:8C,wifine,,
00:03:52:E3:90:1C,wifine,,
00:03:52:E3:90:2D,wifine,,
00:03:52:E3:91:49,wifine,,
00:03:52:E3:96:0C,wifine,,
00:03:52:E3:9A:7C,wifine,,
00:03:52:E3:9D:4D,wifine,,
00:03:52:E3:9F:D9,wifine,,
00:03:52:E3:A8:C9,wifine,,
00:03:52:E3:A9:6D,wifine,,
00:03:52:E3:AC:CB,wifine,,
00:03:52:E3:AD:EA,wifine,,
00:03:52:E3:B0:A9,wifine,,
00:03:52:E3:B1:49,wifine,,
00:03:52:E3:B1:8A,wifine,,
00:03:52:E3:B1:E9,wifine,,
00:03:52:E3:B2:79,wifine,,
00:03:52:E3:B2:99,wifine,,
00:03:52:E3:B6:DC,wifine,,
00:03:52:E3:BB:8A,wifine,,
00:03:52:E3:BC:29,wifine,,
00:03:52:E3:BC:74,wifine,,
00:03:52:E3:BC:7C,wifine,,
00:03:52:E3:BE:F9,wifine,,
00:03:52:E3:BF:B9,wifine,,
00:03:52:E3:C1:7A,wifine,,
00:03:52:E3:C1:B9,wifine,,
00:03:52:E3:C2:3C,wifine,,
00:03:52:E3:C6:A9,wifine,,
